Country and areas,Income Group,ISO code,Region,Sub-region,Survey year,Year*,Corr - UW vs Stunt,Corr - UW vs Wast,Corr UW vs SW,Overweight,Rural,Severe wasting,Stunting,Survey sample size (N),Type of Impacts,Under 5 population,Under 5 Stunt,Underweight,Urban,Wasting
AFGHANISTAN,Low Income,AFG,Asia,Southern Asia,1997,1997,,,,6.5,5.3,,53.2,4846,18.2,3637.632,0.014624899,44.9,2.9,18.2
AFGHANISTAN,Low Income,AFG,Asia,Southern Asia,2004,2004,,,,4.6,1.9,3.5,59.3,946,8.6,4667.487,0.01270491,32.9,2.4,8.6
AFGHANISTAN,Low Income,AFG,Asia,Southern Asia,2013,2013,,,,5.4,8.7,4,40.9,21922,9.5,5235.867,0.007811505,25,10.4,9.5
ALBANIA,Upper Middle Income,ALB,Europe,Southern Europe,1996-98,1997,,,,9.5,7,,20.4,7642,8.1,307.887,0.066258075,7.1,3.8,8.1
ALBANIA,Upper Middle Income,ALB,Europe,Southern Europe,2000,2000,,,,30.003038,8.3,6.1831203,39.224815,1381.533,12.240716,278.753,0.140715311,17.014521,11.5,12.240716
ALBANIA,Upper Middle Income,ALB,Europe,Southern Europe,2005,2005,,,,24.837179,0.9,3.6751084,26.716614,1090.1566,7.3246875,219.025,0.121979747,6.6482162,1.4,7.3246875
ALBANIA,Upper Middle Income,ALB,Europe,Southern Europe,2008-09,2009,,,,23.235075,4.1,5.9348998,23.187534,1489.3491,9.579505,179.148,0.129432279,6.2851181,4.2,9.579505
ALBANIA,Upper Middle Income,ALB,Europe,Southern Europe,2017-18,2017,,,,16.398991,,0.53719968,11.32335,2366.7397,1.5842172,177.175,0.06391054,1.4787889,,1.5842172
ALGERIA,Upper Middle Income,DZA,Africa,Northern Africa,1987,1987,,,,,2.4,,16.9,2344,4,3979.162,0.004247125,8,1.6,4
ALGERIA,Upper Middle Income,DZA,Africa,Northern Africa,1992,1992,,,,8.7079716,,3.0368454,22.931885,4629.0044,7.0752301,3942.777,0.005816176,9.2213755,,7.0752301
ALGERIA,Upper Middle Income,DZA,Africa,Northern Africa,1995,1995,,,,13.2,2,4.2,22.5,3825,9.6,3734.288,0.006025245,11.3,2.3,9.6
ALGERIA,Upper Middle Income,DZA,Africa,Northern Africa,2000,2000,,,,14.7,1.8,1.1,23.6,4178,3.1,3087.831,0.007642905,5.4,1.7,3.1
ALGERIA,Upper Middle Income,DZA,Africa,Northern Africa,2002,2002,,,,15.133126,3.3,5.0299072,24.039301,4356.9438,9.6180115,2885.61,0.008330752,11.060481,2.5,9.6180115
ALGERIA,Upper Middle Income,DZA,Africa,Northern Africa,2005,2005,,,,12.9,,1.6,15.9,13976,4,2964.659,0.00536318,3.7,,4
ALGERIA,Upper Middle Income,DZA,Africa,Northern Africa,2012-13,2012,,,,12.414539,2.2,1.3761208,11.689597,13859.621,4.1067505,4340.456,0.002693173,3.0486486,1.1,4.1067505
ANGOLA,Lower Middle Income,AGO,Africa,Middle Africa,1996,1996,,,,1.6,,3.3,61.7,3016,8.6,2875.53,0.021456914,37,,8.6
